Time,Control Signal,Human_stretch_sensor,Human_contact_sensor,Robot_stretch_sensor,Robot_contact_sensor
5.00419992e-05,0,0,0,0,0
0.05005824938,-3,0,0,0,0
0.1000562087,-3,0,0,0,0
0.150056228,-3,0,0,0,0
0.2000607401,-3,0,0,0,0
0.2500596046,-3,0,0,0,0
0.3000606596,-3,0,0,0,0
0.3500911593,-3,64535,980,64548,64681
0.4000831544,-2.985734463,64534,967,64548,64681
0.4500566721,-2.941921949,64532,898,64548,64681
0.5000569224,-2.843265772,64532,997,64548,64681
0.5500574708,-2.744609594,64533,953,64548,64678
0.6000561118,-2.672390938,64531,979,64547,64681
0.6500560641,-2.552093983,64529,967,64545,64680
0.7000555992,-2.399789333,64528,956,64530,64680
0.7500553727,-2.265984535,64528,968,64522,64679
0.800055027,-2.14817977,64528,1020,64518,64679
0.8500605822,-2.038375139,64529,996,64517,64677
0.9000553489,-1.942070484,64529,983,64517,64676
0.9500610828,-1.845765829,64528,980,64517,64676
1.000057459,-1.737961173,64529,918,64517,64675
1.050055623,-1.641656518,64527,834,64516,64675
1.10005784,-1.528562784,64527,941,64516,64674
1.150057197,-1.41546905,64527,951,64516,64673
1.200054884,-1.302375317,64526,1008,64516,64673
1.250058293,-1.185664415,64524,1019,64516,64672
1.300056934,-1.068953514,64526,1020,64516,64672
1.35005641,-0.9522425532,64527,948,64516,64672
1.400059581,-0.8391488194,64527,1015,64516,64671
1.450058937,-0.7260550857,64526,918,64516,64671
1.500058293,-0.6093441248,64527,886,64516,64670
1.550056219,-0.4962503612,64530,982,64516,64667
1.600055337,-0.4178753495,64531,871,64516,64663
1.650057077,-0.3595784605,64532,792,64515,64660
1.700055242,-0.3269222081,64533,907,64516,64656
1.750214219,-0.3187034726,64533,809,64516,64656
1.800055861,-0.3104847074,64532,942,64516,64653
1.850068569,-0.2758284509,64532,869,64516,64653
1.90005815,-0.2411721945,64528,790,64516,64653
1.950094342,-0.1353675127,64528,923,64516,64654
2.000076294,-0.02956282347,64528,854,64516,64654
2.050085068,0.07624186575,64528,800,64516,64651
2.100082636,0.1820465624,64528,801,64516,64648
2.15006876,0.2878512442,64526,864,64516,64643
2.200119019,0.4045621753,64526,857,64516,64641
2.250060558,0.5212731361,64848,764,64515,64637
2.300055504,0.1947652996,64575,701,64516,64634
2.35005784,-0.129742533,64543,665,64516,64632
2.400056601,-0.3860315979,64535,597,64516,64632
2.450059414,-0.4357659817,64534,730,64516,64624
2.500058174,-0.4559534788,64533,848,64516,64620
2.55005908,-0.4477347136,64530,738,64516,64616
2.60006237,-0.3693597019,64529,688,64517,64619
2.650066614,-0.273055017,64529,624,64516,64621
2.700061798,-0.1787503362,64527,591,64516,64623
2.750085354,-0.06565658003,64526,586,64516,64624
2.800055027,0.05105436593,64525,522,64516,64625
2.850058794,0.1677653193,64526,487,64516,64626
2.900055647,0.2844762802,64527,452,64516,64625
2.950055361,0.3975700438,64531,421,64516,64623
3.000096321,0.4558669329,64531,399,64515,64624
3.050082207,0.5121638179,64531,382,64516,64624
3.10005641,0.5704606771,64535,775,64516,64626
3.150054216,0.5207263231,64530,738,64516,64629
3.200093746,0.599101305,64530,663,64516,64631
3.250079393,0.6774762869,64530,620,64516,64630
3.30005455,0.7558512688,64529,555,64515,64633
3.350054741,0.8481559753,64528,515,64516,64633
3.400083542,0.9539606571,64529,471,64516,64633
3.450054646,1.048265338,64528,439,64516,64628
3.500054359,1.15407002,64528,406,64516,64602
3.550055504,1.259874701,64528,376,64516,64603
3.600063562,1.365679383,64528,354,64516,64612
3.650084972,1.471484065,64529,332,64516,64621
3.700055838,1.565788746,64531,316,64515,64627
3.750059605,1.622085571,64532,299,64516,64631
3.800055742,1.656741858,64532,284,64516,64634
3.850065231,1.691398144,64531,276,64516,64636
3.900061131,1.749695063,64529,266,64516,64638
3.950058222,1.843999743,64526,254,64516,64639
4.000054836,1.960710645,64525,243,64516,64642
4.05005455,2,64524,235,64516,64644
4.100085735,2,64525,228,64516,64645
4.150055885,2,64525,223,64516,64646
4.200057507,2,64525,217,64515,64647
4.250058174,2,64527,209,64516,64649
4.30005455,2,64530,208,64516,64649
4.350056171,2,64531,204,64516,64650
4.400054455,2,64532,200,64516,64651
4.450055599,2,64533,197,64516,64652
4.500089645,2,64531,194,64516,64652
